이름,슬롯,타입,옵션
Hallowed Reckoning,Weapon (1H),Set One-Handed Mighty Weapon,Crafted Set One-Handed Mighty Weapon that has 5 random Magic Properties Part of the Hallowed Defenders set ; The two piece set bonus will increase your All Resist by 40 and your Attack Speed by 5%. ; Hallowed Defenders Hallowed Hand ; Hallowed Judgment ; Hallowed Reckoning ; Hallowed Salvation
Hallowed Salvation,Weapon (1H),Set Ceremonial Knife,Crafted Set Ceremonial Knife that has 5 random Magic Properties Part of the Hallowed Defenders set ; The two piece set bonus will increase your All Resist by 40 and your Attack Speed by 5%. ; Hallowed Defenders Hallowed Hand ; Hallowed Judgment ; Hallowed Reckoning ; Hallowed Salvation
Hallowed Scepter,Weapon (1H),Set Wand,Crafted Set Wand that has 5 random Magic Properties Part of the Hallowed Defenders set ; The two piece set bonus will increase your All Resist by 40 and your Attack Speed by 5%. ; Hallowed Defenders Hallowed Hand ; Hallowed Judgment ; Hallowed Reckoning ; Hallowed Salvation
Hallowed Storm,Weapon (1H),Set One-Handed Axe,Crafted Set Axe that has 5 random Magic Properties Part of the Hallowed Defenders set ; The two piece set bonus will increase your All Resist by 40 and your Attack Speed by 5%. ; Hallowed Defenders Hallowed Hand ; Hallowed Judgment ; Hallowed Reckoning ; Hallowed Salvation
Hallowed Sufferance,Weapon (1H),Set Ceremonial Knife,Crafted Set Ceremonial Knife that has 5 random Magic Properties Part of the Hallowed Protectors set ; The two piece set bonus will give you 100 All Resist and raise your Attack Speed by 10%. ; Hallowed Protectors Hallowed Baton ; Hallowed Breach ; Hallowed Condemnation ; Hallowed Hold
Halo of Arlyse,Ring,Ring,"Your Ice Armor now reduces damage from melee attacks by 50–60% and automatically casts Frost Nova whenever you take 10% of your Life in damage. ; This item was an exclusive Season 2 drop, but now can be found anywhere as of Patch 2.2.0 and the end of Season 2. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; The minimum level this item can drop at is 59. Below you will find the range of stats found on the level 59 version. ; One of 3 Magic Properties (varies) ; +220–349 Dexterity"
Hammer Jammers,Legs,Pants,"Increases Movement Speed by 10-12% ; Pants do not usually roll with Movement Speed. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level. ; 162–191 Base Armor"
Hand of the Prophet,,Enchantress Focus,"Equip on Follower: Gain access to all skills. ; This Focus allows your Enchantress to use all 8 of her skills instead of just 4. All 8 skills will only become selected when you hire her. ; Enchantress Skills ; Charm - Charms an enemy to fight for you for 8 seconds. ; Missile Ward - Buffs you and the Enchantress, reducing damage from ranged attacks by 6%. ; Disorient - Cast a flash of light in an area, causing enemies to be disoriented for 2 seconds."
Harness of Truth,Chest,Set Chest Armor,Part of the Delsere
Harrington Waistguard,Waist,Belt,Opening a chest grants 100-135% increased damage for 10 seconds. ; Any chest will trigger the effect. However certain none chest items will also trigger the effect: ; Corpses ; Weapon and Armor racks ; Loose stones/dirt on the ground ; Buff can be refreshed by looting another object before it ends.
Haunt of Vaxo,Neck,Amulet,"Summons shadow clones to your aid when you Stun an enemy. This effect may occur once every 30 seconds. ; Triggers from your Stuns or from Stuns performed by your pets. (See patch notes.) ; Spawns two invincible shadow clones for 15 seconds. ; The clones' damage is based on the ability they use, and does the same damage as if you were to use that ability. ; Summoned clone types depend on your class. ; Freezing or other non-stun Crowd Control will not proc the effect."
Haunting Girdle,Waist,Belt,Haunt releases 1 extra spirit.
Health Potion,,Potion,Instantly restores 60% Life. ; This is the default potion for all levels. Various vendors in every town sell them. ; Maximum Stack Amount: 100
Heart of Evil,Material,Crafting Material,Can be combined with other demonic body parts to create a ring of incredible power. ; Material for Hellfire Ring and Hellfire Amulet . ; Drops from the Uber Diablo encounter in the Infernal Machine Event. ; Torment 1 - 25% ; Torment 2 - 28% ; Torment 3 - 33%
Heart of the Crashing Wave,Chest,Set Chest Armor,Part of the Raiment of a Thousand Storms set ; On the Public Test Realm for patch 2.2 this set has it's effect changed. Note the effect may change before the patch is released on live servers. ; (2) Set: ; Your Spirit Generators have 25% increased attack speed and 500% increased damage. ; (4) Set: ; Increases the weapon damage of Dashing Strike to 5000% .
Heart of the Light,Chest,Set Chest Armor,Part of the Seeker of the Light set
Heart Slaughter,Weapon (2H),Polearm,"Physical skills deal 25–30% more damage. ; This weapon rolls with a large bonus to Physical skills. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Damage"
Hell Walkers,Feet,Set Boots,Part of the Unhallowed Essence set
Hellcat Waistguard,Waist,Belt,"Attack Speed Increased by 5.0–6.0% ; This belt is unique as belts do not normally roll with Attack Speed. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 265–314 Base Armor"
Hellfire Amulet,Neck,Amulet,Gain the effect of a random passive skill of your class type.
Hellfire Ring,Ring,Ring,"Chance on hit to engulf the ground in lava, dealing 200% weapon damage per second for 6 seconds."
Hellrack,Weapon (2H),Crossbow,"Chance to root enemies to the ground when you hit them. ; Stops enemies from moving for 3 seconds. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
Hellskull,Off-hand,Crusader Shield,"Grants 10% increased damage while wielding a two-handed weapon. ; When using the Heavenly Strength passive with this shield, you will be able to wield a 2 handed weapon and a shield without losing any of your movement speed. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 288–359 Base Armor"
Helltooth Gauntlets,Hands,Set Gloves,Part of the Helltooth Harness set
Helltooth Greaves,Feet,Set Boots,Part of the Helltooth Harness set
Helltooth Leg Guards,Legs,Set Pants,Part of the Helltooth Harness set
Helltooth Mantle,Shoulders,Set Shoulders,Part of the Helltooth Harness set
Helltooth Mask,Head,Set Helmet,Part of the Helltooth Harness set
Helltooth Tunic,Chest,Set Chest Armor,Part of the Helltooth Harness set
Helltrapper,Weapon (1H),Hand Crossbow,"7–10% chance on hit to summon a Spike Trap, Caltrops or Sentry ; The Sentries, Spike Traps or Caltrops all use the rune you currently have equipped. Unruned version will be used if you do not have the skill equipped. ; The Caltrops, Sentries, and Spike Traps summoned by this item can no longer exceed the normal cap of those skills ; Randomly drops from the Act 4 & 5 Horadric Cache, the reward for completing all 5 bounties in the act. ; This item is a Reaper of Souls only item. ; Level 12 Stats"
Helm of Akkhan,Head,Set Helmet,Part of the Armor of Akkhan set ; The two piece set bonus will increase your Strength by 500. ; The four piece bonus decreases the cost of all your abilities by 50% during the 20 seconds that Akarat's Chamption is active. ; The six piece bonus reduces the cooldown of Akarat's Chamption down to 45 seconds. ; Armor of Akkhan Cuisses of Akkhan ; Breastplate of Akkhan
Helm of the Wastes,Head,Set Helmet,Part of the Wrath of the Wastes set
Henri's Perquisition,Off-hand,Mojo,"The first time an enemy deals damage to you, reduce that damage by 60–80% and Charm the enemy for 3 seconds."
Hexing Pants of Mr. Yan,Legs,Pants,"Your resource generation and damage is increased by 25% while moving and decreased by 20–25% while standing still. ; Resource Regeneration Details I used the Unforgiving passive to make my Fury regeneration 2 fury per second. ; The decrease in resource regen seems to be 44% instead of only 25%. (2 fury/sec down to 1.12 fury/sec) ; The increase in resource regen seems to be 56% instead of only 25%. (2 fury/sec up to 3.12 fury/sec) ; Damage Details While wearing the pants, it is difficult to tell what your non-buffed or debuffed DPS is. ; While testing my stationary DPS was 90,467 & my moving DPS was 150,778."
Hillenbrand's Training Sword,,Templar Relics,"Equip on Follower: Reduces the cooldown of all Follower skills by 50% ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; While wearing this Relic, the cooldowns for all your Templar's skills will be half as long. ; The minimum level this item can drop at is 61. Below you will find the range of stats found on the level 61 version, however the item can drop at any level above 61. The legendary effect does not change with level. ; +4 Random Magic Properties"
Holy Beacon,Neck,Amulet,"Increases Spirit Regeneration by 1.00–3.00 per Second. ; Amulets don't normally roll with increased Spirit regeneration. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Primary Stats"
Holy Point Shot,Off-hand,Quiver,Increases one of 4 Elemental Skill Damage types by 15-20%
Homing Pads,Shoulders,Shoulders,"Your Town Portal is no longer interrupted by taking damage. While casting Town Portal you gain a protective bubble that reduces damage taken by 50–65%. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; As of the 2.0.3 Hotfix (March 11, 2014) channeling the Town Portal will no longer make you immune to crowd control effects. ; Level 10 Stats ; Level 70 Stats ; The minimum level this item can drop at is 10. Below you will find the range of stats found on the level 10 version, however the item can drop at any level above 10. The legendary effect does not change with level."
